1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
2.0,0.0,0.0
2.0,0.0,0.0
2.0,0.0,0.0
2.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
3.0,1.0,0.0
3.0,1.0,0.0
3.0,1.0,0.0
4.0,2.0,0.0
4.0,2.0,0.0
3.0,3.0,0.0
3.0,3.0,0.0
4.0,3.0,0.0
5.0,3.0,0.0
4.0,4.0,0.0
4.0,5.0,0.0
4.0,5.0,0.0
4.0,7.0,0.0
4.0,8.0,0.0
5.0,8.0,0.0
5.0,8.0,0.0
6.0,9.0,0.0
6.0,10.0,0.0
5.0,10.0,1.0
4.0,11.0,1.0
2.0,13.0,1.0
2.0,13.0,0.0
2.0,13.0,0.0
3.0,14.0,0.0
5.0,14.0,0.0
5.0,14.0,0.0
5.0,13.0,1.0
5.0,12.0,1.0
4.0,13.0,1.0
4.0,13.0,1.0
4.0,13.0,1.0
6.0,13.0,1.0
8.0,13.0,1.0
7.0,13.0,2.0
8.0,12.0,2.0
8.0,12.0,3.0
8.0,13.0,3.0
8.0,14.0,3.0
8.0,13.0,4.0
7.0,14.0,4.0
7.0,14.0,3.0
9.0,14.0,3.0
11.0,15.0,3.0
11.0,16.0,3.0
12.0,16.0,3.0
10.0,18.0,4.0
11.0,18.0,4.0
11.0,17.0,5.0
12.0,18.0,5.0
13.0,18.0,5.0
11.0,19.0,5.0
9.0,20.0,5.0
7.0,22.0,5.0
7.0,23.0,5.0
6.0,24.0,5.0
6.0,24.0,5.0
6.0,22.0,5.0
8.0,22.0,5.0
9.0,21.0,6.0
9.0,21.0,6.0
10.0,22.0,4.0
10.0,22.0,4.0
10.0,23.0,4.0
10.0,22.0,5.0
11.0,23.0,5.0
11.0,22.0,6.0
12.0,22.0,5.0
11.0,24.0,5.0
10.0,26.0,5.0
9.0,26.0,5.0
8.0,27.0,5.0
8.0,27.0,5.0
8.0,28.0,5.0
9.0,28.0,5.0
8.0,28.0,6.0
7.0,30.0,6.0
9.0,29.0,6.0
11.0,29.0,6.0
14.0,30.0,6.0
14.0,30.0,6.0
15.0,31.0,5.0
15.0,32.0,5.0
14.0,32.0,6.0
14.0,31.0,8.0
15.0,32.0,8.0
12.0,36.0,8.0
12.0,36.0,9.0
10.0,39.0,9.0
10.0,40.0,9.0
8.0,40.0,10.0
8.0,41.0,8.0
6.0,42.0,8.0
7.0,42.0,8.0
7.0,41.0,8.0
7.0,41.0,8.0
7.0,39.0,10.0
8.0,39.0,10.0
9.0,40.0,10.0
9.0,40.0,10.0
9.0,40.0,10.0
8.0,40.0,9.0
6.0,41.0,9.0
5.0,40.0,11.0
5.0,41.0,11.0
5.0,40.0,13.0
5.0,40.0,14.0
5.0,39.0,14.0
5.0,39.0,15.0
4.0,40.0,14.0
5.0,40.0,13.0
6.0,39.0,13.0
6.0,39.0,13.0
4.0,39.0,15.0
5.0,39.0,12.0
4.0,40.0,12.0
4.0,39.0,13.0
4.0,38.0,14.0
4.0,36.0,15.0
4.0,37.0,15.0
3.0,35.0,18.0
3.0,35.0,18.0
4.0,34.0,19.0
4.0,35.0,19.0
5.0,34.0,19.0
6.0,34.0,19.0
7.0,34.0,17.0
6.0,35.0,18.0
6.0,35.0,17.0
7.0,35.0,17.0
9.0,35.0,16.0
9.0,35.0,17.0
11.0,35.0,17.0
13.0,35.0,15.0
13.0,36.0,15.0
13.0,36.0,15.0
14.0,37.0,15.0
15.0,37.0,14.0
15.0,37.0,14.0
16.0,36.0,13.0
16.0,37.0,12.0
14.0,42.0,12.0
12.0,43.0,12.0
10.0,45.0,12.0
11.0,46.0,11.0
11.0,47.0,11.0
10.0,48.0,11.0
9.0,49.0,10.0
8.0,50.0,7.0
8.0,49.0,8.0
7.0,49.0,9.0
7.0,49.0,9.0
8.0,49.0,9.0
7.0,50.0,9.0
7.0,49.0,10.0
9.0,49.0,9.0
10.0,48.0,9.0
11.0,49.0,8.0
10.0,48.0,9.0
14.0,47.0,10.0
14.0,48.0,10.0
15.0,48.0,10.0
17.0,48.0,10.0
14.0,52.0,9.0
15.0,51.0,10.0
16.0,51.0,10.0
18.0,51.0,10.0
23.0,49.0,13.0
22.0,51.0,14.0
25.0,50.0,14.0
28.0,49.0,13.0
27.0,51.0,13.0
31.0,52.0,12.0
31.0,54.0,12.0
29.0,58.0,10.0
28.0,63.0,11.0
28.0,65.0,11.0
33.0,62.0,12.0
36.0,65.0,11.0
36.0,66.0,12.0
38.0,66.0,13.0
33.0,72.0,13.0
30.0,77.0,12.0
32.0,78.0,11.0
33.0,79.0,11.0
38.0,80.0,11.0
37.0,84.0,11.0
36.0,88.0,10.0
33.0,93.0,10.0
33.0,95.0,9.0
34.0,94.0,12.0
37.0,93.0,12.0
36.0,95.0,13.0
34.0,100.0,14.0
30.0,102.0,16.0
28.0,106.0,16.0
26.0,109.0,18.0
32.0,104.0,21.0
32.0,105.0,20.0
33.0,106.0,20.0
36.0,107.0,20.0
38.0,103.0,24.0
40.0,105.0,25.0
42.0,108.0,23.0
44.0,109.0,25.0
45.0,108.0,26.0
44.0,111.0,26.0
39.0,115.0,24.0
42.0,117.0,25.0
42.0,121.0,26.0
41.0,121.0,26.0
42.0,123.0,26.0
44.0,125.0,24.0
44.0,126.0,24.0
46.0,125.0,27.0
49.0,128.0,28.0
49.0,131.0,28.0
49.0,135.0,28.0
45.0,138.0,30.0
42.0,140.0,30.0
43.0,139.0,34.0
42.0,143.0,34.0
43.0,144.0,36.0
51.0,140.0,40.0
50.0,143.0,41.0
50.0,144.0,41.0
51.0,144.0,43.0
56.0,143.0,41.0
52.0,148.0,40.0
57.0,147.0,38.0
57.0,150.0,35.0
59.0,149.0,37.0
61.0,152.0,37.0
61.0,155.0,38.0
60.0,156.0,39.0
65.0,157.0,35.0
70.0,160.0,36.0
75.0,163.0,35.0
82.0,170.0,35.0
77.0,178.0,33.0
77.0,184.0,33.0
78.0,188.0,32.0
84.0,188.0,35.0
78.0,194.0,34.0
70.0,204.0,35.0
73.0,206.0,38.0
72.0,210.0,38.0
75.0,214.0,40.0
80.0,216.0,40.0
80.0,221.0,40.0
73.0,232.0,41.0
71.0,232.0,43.0
74.0,236.0,44.0
69.0,245.0,43.0
72.0,246.0,45.0
77.0,249.0,47.0
78.0,247.0,50.0
75.0,251.0,51.0
76.0,255.0,51.0
74.0,259.0,53.0
78.0,258.0,50.0
78.0,265.0,47.0
78.0,264.0,49.0
80.0,269.0,49.0
