# colgem_fitter.py log
# start time: Thu Jan  8 10:16:55 2015
# input file: projects/hivepi/data/SIRTree.n1000.RLRootToTip.timetree.nwk
# annealing settings: tol0=0.020000, mintol=0.010000, decay=0.002500
# MCMC settings: {"phi": {"log": "false", "weight": 1.0, "min": 0.05, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.1}, "N": {"log": "true", "weight": 2.0, "min": 200.0, "max": 100000.0, "initial": 2000.0, "prior": "norm(loc=8000, scale=3000)", "sigma": 0.2}, "p": {"log": "false", "weight": 0.0, "min": 0.0, "max": 1.0, "initial": 1.0, "prior": "lognorm(1)", "sigma": 0.0}, "beta": {"log": "true", "weight": 2.0, "min": 0.0, "max": 0.01, "initial": 0.002, "prior": "lognorm(0.5)", "sigma": 0.2}, "gamma": {"log": "false", "weight": 1.0, "min": 0.01, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.1}, "t_end": {"log": "false", "weight": 1.0, "min": 13.822800531019794, "max": 15.205080584121776, "initial": 13.822800531019794, "prior": "uniform(loc=520, scale=2600)", "sigma": 0.5}}
# kernel settings: decay=0.350000 normalize=mean tau=0.500000 
state	score	N	beta	gamma	p	phi	t_end
69	0.950676439588	2268.55590374	0.000398559818341	0.0830926528608	1.0	0.264467772257	14.4872284184
70	0.954353913557	3145.26971611	0.000307154605781	0.0218752266896	1.0	0.251946541771	14.586618496
71	0.954353913557	3145.26971611	0.000307154605781	0.0218752266896	1.0	0.251946541771	14.586618496
72	0.954353913557	3145.26971611	0.000307154605781	0.0218752266896	1.0	0.251946541771	14.586618496
73	0.946644172788	2603.03360643	0.00041172490259	0.0689008861578	1.0	0.433074178847	14.8039400521
74	0.946761189991	4231.70834	0.000303779100755	0.242762528303	1.0	0.414522002482	14.6674503271
75	0.946826473653	3736.90175158	0.000388470996827	0.209963736087	1.0	0.503878441187	15.1471526202
76	0.946826473653	3736.90175158	0.000388470996827	0.209963736087	1.0	0.503878441187	15.1471526202
77	0.946826473653	3736.90175158	0.000388470996827	0.209963736087	1.0	0.503878441187	15.1471526202
78	0.936612688671	3198.30676985	0.00056126557116	0.289842559275	1.0	0.621008342719	15.0829280466
79	0.936612688671	3198.30676985	0.00056126557116	0.289842559275	1.0	0.621008342719	15.0829280466
80	0.936957308603	3107.98071635	0.000502486522461	0.245934726551	1.0	0.547983581077	14.8953875084
81	0.939682985527	3957.65705598	0.000442119709897	0.318017649196	1.0	0.454307193986	15.2027030427
82	0.941303160222	3852.97221217	0.000413194801265	0.334688502711	1.0	0.297378826223	14.1445853761
83	0.941303160222	3852.97221217	0.000413194801265	0.334688502711	1.0	0.297378826223	14.1445853761
84	0.943468489741	2630.99421737	0.000367243452887	0.218119150843	1.0	0.242634353809	13.8384297456
85	0.943468489741	2630.99421737	0.000367243452887	0.218119150843	1.0	0.242634353809	13.8384297456
86	0.939009507708	2179.20592242	0.00058639636432	0.242800372358	1.0	0.290284221996	14.030463128
87	0.94146634232	2188.78196355	0.000451265033837	0.131530252024	1.0	0.358127840686	14.1594673109
88	0.937800024982	1934.02592601	0.000559183876392	0.105559392697	1.0	0.470863615667	13.971911826
89	0.937800024982	1934.02592601	0.000559183876392	0.105559392697	1.0	0.470863615667	13.971911826
90	0.935584563813	1857.53616343	0.000480496255993	0.150165792791	1.0	0.325181447101	14.1498777501
91	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
92	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
93	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
94	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
95	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
96	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
97	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
98	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
99	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
100	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
101	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
102	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
103	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
104	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
105	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
106	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
107	0.953337147783	2401.66027457	0.000383510101561	0.10210209906	1.0	0.264108313647	13.9613059467
108	0.946169102398	2879.85638512	0.000302540250904	0.107283081493	1.0	0.343882095248	13.875819442
109	0.948003811889	2348.83698965	0.000349939431792	0.0774778401998	1.0	0.30598979736	13.8692401741
110	0.948003811889	2348.83698965	0.000349939431792	0.0774778401998	1.0	0.30598979736	13.8692401741
111	0.946357721527	2196.36960565	0.000403042597645	0.158309937398	1.0	0.217986379199	14.2726553719
112	0.946357721527	2196.36960565	0.000403042597645	0.158309937398	1.0	0.217986379199	14.2726553719
113	0.946357721527	2196.36960565	0.000403042597645	0.158309937398	1.0	0.217986379199	14.2726553719
114	0.949545571679	2215.39981293	0.000466994580208	0.0538209022561	1.0	0.292269166671	14.9125354348
115	0.949545571679	2215.39981293	0.000466994580208	0.0538209022561	1.0	0.292269166671	14.9125354348
116	0.948713940887	2286.05842382	0.000539148804786	0.0854350003502	1.0	0.394624286816	14.6739979746
117	0.9512437972	2662.30095133	0.000464704858245	0.045898163458	1.0	0.460719916558	14.6867389568
118	0.9512437972	2662.30095133	0.000464704858245	0.045898163458	1.0	0.460719916558	14.6867389568
119	0.9512437972	2662.30095133	0.000464704858245	0.045898163458	1.0	0.460719916558	14.6867389568
120	0.9512437972	2662.30095133	0.000464704858245	0.045898163458	1.0	0.460719916558	14.6867389568
121	0.9512437972	2662.30095133	0.000464704858245	0.045898163458	1.0	0.460719916558	14.6867389568
122	0.947424218024	2367.9566692	0.000584173868029	0.0819472725281	1.0	0.493750922795	14.7145337739
123	0.941872285977	2705.55622609	0.000464227114315	0.0537937348703	1.0	0.568787567835	14.2291876729
124	0.941872285977	2705.55622609	0.000464227114315	0.0537937348703	1.0	0.568787567835	14.2291876729
125	0.941872285977	2705.55622609	0.000464227114315	0.0537937348703	1.0	0.568787567835	14.2291876729
126	0.941872285977	2705.55622609	0.000464227114315	0.0537937348703	1.0	0.568787567835	14.2291876729
127	0.945989978819	3332.2079006	0.000461718280136	0.112470199964	1.0	0.588366697133	14.8045359101
128	0.946663949827	3469.41749341	0.00030973146213	0.0326606255641	1.0	0.545861988839	14.7729648204
129	0.946663949827	3469.41749341	0.00030973146213	0.0326606255641	1.0	0.545861988839	14.7729648204
130	0.948672980917	3591.14408915	0.000305375880394	0.0133204941069	1.0	0.533245314887	14.5848464815
131	0.948672980917	3591.14408915	0.000305375880394	0.0133204941069	1.0	0.533245314887	14.5848464815
132	0.943542574808	3236.78497228	0.000293423379231	0.0987687901257	1.0	0.451389493586	14.7692042407
133	0.943542574808	3236.78497228	0.000293423379231	0.0987687901257	1.0	0.451389493586	14.7692042407
134	0.943542574808	3236.78497228	0.000293423379231	0.0987687901257	1.0	0.451389493586	14.7692042407
135	0.943542574808	3236.78497228	0.000293423379231	0.0987687901257	1.0	0.451389493586	14.7692042407
136	0.943542574808	3236.78497228	0.000293423379231	0.0987687901257	1.0	0.451389493586	14.7692042407
137	0.943542574808	3236.78497228	0.000293423379231	0.0987687901257	1.0	0.451389493586	14.7692042407
138	0.943542574808	3236.78497228	0.000293423379231	0.0987687901257	1.0	0.451389493586	14.7692042407
139	0.958687519483	3832.7796723	0.00028200349615	0.0165055128218	1.0	0.424901766032	14.178885029
140	0.957274390783	3745.53012669	0.000236339859445	0.0271264571628	1.0	0.30611552998	14.3399515696
141	0.958598290127	3405.92298772	0.000282504319169	0.0321491435369	1.0	0.328609229446	14.198654934
142	0.958598290127	3405.92298772	0.000282504319169	0.0321491435369	1.0	0.328609229446	14.198654934
143	0.958598290127	3405.92298772	0.000282504319169	0.0321491435369	1.0	0.328609229446	14.198654934
144	0.95486427161	4327.08576669	0.000296232116407	0.131245673758	1.0	0.414310277701	14.1922775479
145	0.95486427161	4327.08576669	0.000296232116407	0.131245673758	1.0	0.414310277701	14.1922775479
146	0.95486427161	4327.08576669	0.000296232116407	0.131245673758	1.0	0.414310277701	14.1922775479
147	0.95486427161	4327.08576669	0.000296232116407	0.131245673758	1.0	0.414310277701	14.1922775479
148	0.95486427161	4327.08576669	0.000296232116407	0.131245673758	1.0	0.414310277701	14.1922775479
149	0.95486427161	4327.08576669	0.000296232116407	0.131245673758	1.0	0.414310277701	14.1922775479
150	0.95486427161	4327.08576669	0.000296232116407	0.131245673758	1.0	0.414310277701	14.1922775479
151	0.950613225062	4519.04921446	0.000326366615691	0.173166766366	1.0	0.443141718206	14.3957923788
152	0.958083129031	4302.12656897	0.000266725021766	0.0995203551346	1.0	0.38799426834	14.4287717156
153	0.958083129031	4302.12656897	0.000266725021766	0.0995203551346	1.0	0.38799426834	14.4287717156
154	0.946770456938	3609.16217381	0.000264389836494	0.0788947624727	1.0	0.428516129735	14.5125072508
155	0.932067852911	3018.50482882	0.000301182296042	0.131901767475	1.0	0.511293426875	14.3989171262
156	0.958135016889	5764.22265194	0.000229975561852	0.0613489708373	1.0	0.567318420987	14.0489214961
157	0.953670668701	4725.68025223	0.00031045952343	0.0108988363074	1.0	0.596226044346	14.0498374251
158	0.953670668701	4725.68025223	0.00031045952343	0.0108988363074	1.0	0.596226044346	14.0498374251
159	0.953670668701	4725.68025223	0.00031045952343	0.0108988363074	1.0	0.596226044346	14.0498374251
160	0.955901994339	4982.50743553	0.000260076492291	0.0336160151448	1.0	0.513502471299	14.8632962844
161	0.95614762666	7764.69347779	0.00018307762254	0.129203220563	1.0	0.610764980859	14.4205862743
162	0.956254383498	8219.44983522	0.000172772842837	0.0648377441608	1.0	0.693616275447	14.3720885504
163	0.956195089723	8983.54442779	0.000168034357393	0.105171125133	1.0	0.574853662345	14.2674566949
164	0.956195089723	8983.54442779	0.000168034357393	0.105171125133	1.0	0.574853662345	14.2674566949
165	0.956195089723	8983.54442779	0.000168034357393	0.105171125133	1.0	0.574853662345	14.2674566949
166	0.956195089723	8983.54442779	0.000168034357393	0.105171125133	1.0	0.574853662345	14.2674566949
167	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
168	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
169	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
170	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
171	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
172	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
173	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
174	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
175	0.957216482133	11298.101729	0.000121288482503	0.2118098817	1.0	0.535155211762	14.4729752598
176	0.955473367604	11974.7010163	0.000137254588376	0.40344340496	1.0	0.480115247938	14.4965913806
177	0.952727095088	9540.7125807	0.00014670119015	0.387394167912	1.0	0.379222064631	14.1069621807
178	0.957289776919	13187.2304542	0.000102533638655	0.36330427684	1.0	0.314586716148	14.9316316432
179	0.962729697746	12514.9255823	9.32474355492e-05	0.0870765900656	1.0	0.439089920143	14.8802367883
180	0.962729697746	12514.9255823	9.32474355492e-05	0.0870765900656	1.0	0.439089920143	14.8802367883
181	0.962729697746	12514.9255823	9.32474355492e-05	0.0870765900656	1.0	0.439089920143	14.8802367883
182	0.958891568405	12989.9565154	9.10052588055e-05	0.157552280979	1.0	0.428379588821	14.2260428148
183	0.958891568405	12989.9565154	9.10052588055e-05	0.157552280979	1.0	0.428379588821	14.2260428148
184	0.958813570776	12222.188636	8.98498952753e-05	0.0770284448864	1.0	0.489325163794	14.0722210009
185	0.958813570776	12222.188636	8.98498952753e-05	0.0770284448864	1.0	0.489325163794	14.0722210009
186	0.958813570776	12222.188636	8.98498952753e-05	0.0770284448864	1.0	0.489325163794	14.0722210009
187	0.958813570776	12222.188636	8.98498952753e-05	0.0770284448864	1.0	0.489325163794	14.0722210009
188	0.958813570776	12222.188636	8.98498952753e-05	0.0770284448864	1.0	0.489325163794	14.0722210009
189	0.958886469624	12058.7860842	0.000109624473504	0.126569075369	1.0	0.624089728202	14.0710496173
190	0.958886469624	12058.7860842	0.000109624473504	0.126569075369	1.0	0.624089728202	14.0710496173
191	0.958886469624	12058.7860842	0.000109624473504	0.126569075369	1.0	0.624089728202	14.0710496173
192	0.958886469624	12058.7860842	0.000109624473504	0.126569075369	1.0	0.624089728202	14.0710496173
193	0.955504184091	15489.1780621	0.000118784699362	0.0679764933527	1.0	0.871502586904	14.547061223
194	0.955504184091	15489.1780621	0.000118784699362	0.0679764933527	1.0	0.871502586904	14.547061223
195	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
196	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
197	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
198	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
199	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
200	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
201	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
202	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
203	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
204	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
205	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
206	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
207	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
208	0.959653868762	15212.9563626	0.000113298493138	0.0804309507268	1.0	0.933828531834	14.4619768041
209	0.957162368147	18101.5468355	0.000114196766511	0.234525817427	1.0	0.988364246217	14.074790653
210	0.957162368147	18101.5468355	0.000114196766511	0.234525817427	1.0	0.988364246217	14.074790653
211	0.933132106945	16639.8750081	0.000136957858074	0.0840256824778	1.0	0.972644733434	14.0690627226
212	0.933132106945	16639.8750081	0.000136957858074	0.0840256824778	1.0	0.972644733434	14.0690627226
213	0.933132106945	16639.8750081	0.000136957858074	0.0840256824778	1.0	0.972644733434	14.0690627226
214	0.933132106945	16639.8750081	0.000136957858074	0.0840256824778	1.0	0.972644733434	14.0690627226
215	0.933132106945	16639.8750081	0.000136957858074	0.0840256824778	1.0	0.972644733434	14.0690627226
216	0.948604579054	16561.5165777	0.000122982923561	0.0582091461388	1.0	0.962020498755	14.1764066606
217	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
218	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
219	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
220	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
221	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
222	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
223	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
224	0.960473964151	14166.0911138	0.000117014565752	0.0616013860531	1.0	0.8853774283	14.2384577034
225	0.960635645044	14996.8253548	0.000113822377663	0.0376767343744	1.0	0.892287576287	14.3194335743
226	0.960149257459	17186.3903257	8.46226849098e-05	0.0490322700001	1.0	0.690896721703	14.7288667606
227	0.960149257459	17186.3903257	8.46226849098e-05	0.0490322700001	1.0	0.690896721703	14.7288667606
228	0.960149257459	17186.3903257	8.46226849098e-05	0.0490322700001	1.0	0.690896721703	14.7288667606
229	0.960149257459	17186.3903257	8.46226849098e-05	0.0490322700001	1.0	0.690896721703	14.7288667606
230	0.960149257459	17186.3903257	8.46226849098e-05	0.0490322700001	1.0	0.690896721703	14.7288667606
231	0.951988194541	18321.6842513	9.2492984151e-05	0.0673034872235	1.0	0.762415435391	14.7244176534
232	0.951988194541	18321.6842513	9.2492984151e-05	0.0673034872235	1.0	0.762415435391	14.7244176534
233	0.951988194541	18321.6842513	9.2492984151e-05	0.0673034872235	1.0	0.762415435391	14.7244176534
234	0.951988194541	18321.6842513	9.2492984151e-05	0.0673034872235	1.0	0.762415435391	14.7244176534
235	0.961760577576	18108.9141852	7.81527643072e-05	0.111179304861	1.0	0.659195718437	14.9916071952
236	0.961760577576	18108.9141852	7.81527643072e-05	0.111179304861	1.0	0.659195718437	14.9916071952
237	0.961760577576	18108.9141852	7.81527643072e-05	0.111179304861	1.0	0.659195718437	14.9916071952
238	0.959251934734	14990.2665252	8.75912216957e-05	0.20933270677	1.0	0.479195473882	14.6022555818
239	0.959251934734	14990.2665252	8.75912216957e-05	0.20933270677	1.0	0.479195473882	14.6022555818
240	0.959251934734	14990.2665252	8.75912216957e-05	0.20933270677	1.0	0.479195473882	14.6022555818
241	0.959251934734	14990.2665252	8.75912216957e-05	0.20933270677	1.0	0.479195473882	14.6022555818
242	0.959251934734	14990.2665252	8.75912216957e-05	0.20933270677	1.0	0.479195473882	14.6022555818
243	0.959251934734	14990.2665252	8.75912216957e-05	0.20933270677	1.0	0.479195473882	14.6022555818
244	0.957313305712	13228.9358931	7.48259078576e-05	0.0914165687695	1.0	0.29644300415	14.2692274327
245	0.948182694724	11027.080526	9.0645481631e-05	0.0735368263749	1.0	0.259937917486	14.5535690964
